"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Patacharkuchi,42,GEN,Barpeta,Ranjeet Kumar Dass,Bharatiya Janta Party,140634,111729,79.4 %,62853,56.3%
Patacharkuchi,42,GEN,Barpeta,Ranjeet Kumar Dass,Bharatiya Janta Party,140634,111729,79.4 %,62853,56.3%
Patharkandi,2,GEN,Karimganj,Krishnendu Paul,Bharatiya Janta Party,171991,149419,86.9 %,4467,3.0%
Patharkandi,2,GEN,Karimganj,Krishnendu Paul,Bharatiya Janta Party,171991,149419,86.9 %,4467,3.0%
Raha,82,SC,Nagaon,Sashi Kanta Das,Indian National Congress,207160,177332,85.6 %,13058,7.4%
Raha,82,SC,Nagaon,Sashi Kanta Das,Indian National Congress,207160,177332,85.6 %,13058,7.4%
Rangapara,74,GEN,Sonitpur,Krishna Kamal Tanti,Bharatiya Janta Party,156048,129636,83.1 %,22345,17.2%
Rangapara,74,GEN,Sonitpur,Krishna Kamal Tanti,Bharatiya Janta Party,156048,129636,83.1 %,22345,17.2%
Rangia,57,GEN,Kamrup,Bhabesh Kalita,Bharatiya Janta Party,189336,160897,85.0 %,20220,12.6%
Rangia,57,GEN,Kamrup,Bhabesh Kalita,Bharatiya Janta Party,189336,160897,85.0 %,20220,12.6%
Ratabari,1,SC,Karimganj,Bijoy Malakar,Bharatiya Janta Party,162238,135611,83.6 %,36221,26.7%
Ratabari,1,SC,Karimganj,Bijoy Malakar,Bharatiya Janta Party,162238,135611,83.6 %,36221,26.7%
Rupohihat,85,GEN,Nagaon,Nurul Huda,Indian National Congress,189990,179955,94.7 %,106352,59.1%
Rupohihat,85,GEN,Nagaon,Nurul Huda,Indian National Congress,189990,179955,94.7 %,106352,59.1%
Sadiya,126,GEN,Tinsukia,Bolin Chetia,Bharatiya Janta Party,177838,140657,79.1 %,22084,15.7%
Sadiya,126,GEN,Tinsukia,Bolin Chetia,Bharatiya Janta Party,177838,140657,79.1 %,22084,15.7%
Salmara South,22,GEN,Dhubri,Wazed Ali Choudhury,Indian National Congress,178972,173208,96.8 %,135574,78.3%
Salmara South,22,GEN,Dhubri,Wazed Ali Choudhury,Indian National Congress,178972,173208,96.8 %,135574,78.3%
Samaguri,88,GEN,Nagaon,Rakibul Hussain,Indian National Congress,156836,138531,88.3 %,26098,18.8%
Samaguri,88,GEN,Nagaon,Rakibul Hussain,Indian National Congress,156836,138531,88.3 %,26098,18.8%
Sarukhetri,46,GEN,Barpeta,Jakir Hussain Sikdar,Indian National Congress,194027,177615,91.5 %,29541,16.6%
Sarukhetri,46,GEN,Barpeta,Jakir Hussain Sikdar,Indian National Congress,194027,177615,91.5 %,29541,16.6%
Sarupathar,94,GEN,Golaghat,Biswajit Phukan,Bharatiya Janta Party,251382,205041,81.6 %,39359,19.2%
Sarupathar,94,GEN,Golaghat,Biswajit Phukan,Bharatiya Janta Party,251382,205041,81.6 %,39359,19.2%
Sibsagar,108,GEN,Sibsagar,Akhil Gogoi,Independent,148624,123580,83.1 %,11875,9.6%
Sibsagar,108,GEN,Sibsagar,Akhil Gogoi,Independent,148624,123580,83.1 %,11875,9.6%
Sidli,31,ST,Kokrajhar,Joyanta Basumatary,United Peoples Party Liberal,207039,169344,81.8 %,31320,18.5%
Sidli,31,ST,Kokrajhar,Joyanta Basumatary,United Peoples Party Liberal,207039,169344,81.8 %,31320,18.5%
Silchar,9,GEN,Cachar,Dipayan Chakraborty,Bharatiya Janta Party,221076,174067,78.7 %,37578,21.6%
Silchar,9,GEN,Cachar,Dipayan Chakraborty,Bharatiya Janta Party,221076,174067,78.7 %,37578,21.6%
Sipajhar,66,GEN,Darrang,Paramananda Rajbongshi,Bharatiya Janta Party,175395,147179,83.9 %,7134,4.8%
Sipajhar,66,GEN,Darrang,Paramananda Rajbongshi,Bharatiya Janta Party,175395,147179,83.9 %,7134,4.8%
Sonai,10,GEN,Cachar,Karim Uddin Barbhuiya,All India United Democratic Front,173700,146103,84.1 %,19654,13.5%
Sonai,10,GEN,Cachar,Karim Uddin Barbhuiya,All India United Democratic Front,173700,146103,84.1 %,19654,13.5%
Sonari,106,GEN,Sibsagar,Dharmeswar Konwar,Bharatiya Janta Party,168018,142679,84.9 %,15117,10.6%
Sonari,106,GEN,Sibsagar,Dharmeswar Konwar,Bharatiya Janta Party,168018,142679,84.9 %,15117,10.6%
Sootea,75,GEN,Sonitpur,Padma Hazarika,Bharatiya Janta Party,181533,147680,81.4 %,24375,16.5%
Sootea,75,GEN,Sonitpur,Padma Hazarika,Bharatiya Janta Party,181533,147680,81.4 %,24375,16.5%
Sorbhog,40,GEN,Barpeta,Manoranjan Talukdar,Communist Party Of India (Marxist),216395,189564,87.6 %,10262,5.4%
Sorbhog,40,GEN,Barpeta,Manoranjan Talukdar,Communist Party Of India (Marxist),216395,189564,87.6 %,10262,5.4%
