"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Jalpaiguri,17,SC,Jalpaiguri,Dr. Pradip Kumar Barma,All India Trinamool Congress,255367,222552,87.1 %,941,0.4%
Jamalpur,262,SC,Barddhaman,Alok Kumar Majhi,All India Trinamool Congress,229313,203825,88.9 %,17971,8.8%
Jamalpur,262,SC,Barddhaman,Alok Kumar Majhi,All India Trinamool Congress,229313,203825,88.9 %,17971,8.8%
Jamuria,279,GEN,Barddhaman,Hareram Singh,All India Trinamool Congress,208925,164350,78.7 %,8051,4.9%
Jamuria,279,GEN,Barddhaman,Hareram Singh,All India Trinamool Congress,208925,164350,78.7 %,8051,4.9%
Jangipara,195,GEN,Hugli,Snehasis Chakraborty,All India Trinamool Congress,246868,207371,84.0 %,17926,8.6%
Jangipara,195,GEN,Hugli,Snehasis Chakraborty,All India Trinamool Congress,246868,207371,84.0 %,17926,8.6%
Jaynagar,136,SC,South  Twenty Four Parganas,Biswanath Das,All India Trinamool Congress,228097,201267,88.2 %,38683,19.2%
Jaynagar,136,SC,South  Twenty Four Parganas,Biswanath Das,All India Trinamool Congress,228097,201267,88.2 %,38683,19.2%
Jhargram,222,GEN,Paschim Medinipur,Birbaha Hansda,All India Trinamool Congress,226032,198161,87.7 %,38240,19.3%
Jhargram,222,GEN,Paschim Medinipur,Birbaha Hansda,All India Trinamool Congress,226032,198161,87.7 %,38240,19.3%
Jorasanko,165,GEN,Kolkata,Vivek Gupta,All India Trinamool Congress,191911,97927,51.0 %,12743,13.0%
Jorasanko,165,GEN,Kolkata,Vivek Gupta,All India Trinamool Congress,191911,97927,51.0 %,12743,13.0%
Joypur,241,GEN,Puruliya,Nara Hari Mahato,Bharatiya Janta Party,236633,199811,84.4 %,12200,6.1%
Joypur,241,GEN,Puruliya,Nara Hari Mahato,Bharatiya Janta Party,236633,199811,84.4 %,12200,6.1%
Kakdwip,131,GEN,South  Twenty Four Parganas,Manturam Pakhira,All India Trinamool Congress,234569,218574,93.2 %,25302,11.6%
Kakdwip,131,GEN,South  Twenty Four Parganas,Manturam Pakhira,All India Trinamool Congress,234569,218574,93.2 %,25302,11.6%
Kalchini,11,ST,Jalpaiguri,Bishal Lama,Bharatiya Janta Party,235747,193438,82.1 %,28576,14.8%
Kalchini,11,ST,Jalpaiguri,Bishal Lama,Bharatiya Janta Party,235747,193438,82.1 %,28576,14.8%
Kaliaganj,34,SC,Uttar Dinajpur,Soumen Roy,Bharatiya Janta Party,269942,236719,87.7 %,21820,9.2%
Kaliaganj,34,SC,Uttar Dinajpur,Soumen Roy,Bharatiya Janta Party,269942,236719,87.7 %,21820,9.2%
Kaliganj,80,GEN,Nadia,Nasiruddin Ahamed (LAL),All India Trinamool Congress,234432,207328,88.4 %,46987,22.7%
Kaliganj,80,GEN,Nadia,Nasiruddin Ahamed (LAL),All India Trinamool Congress,234432,207328,88.4 %,46987,22.7%
Kalimpong,22,GEN,Darjiling,Ruden Sada Lepcha,Independent,205460,152703,74.3 %,3870,2.5%
Kalimpong,22,GEN,Darjiling,Ruden Sada Lepcha,Independent,205460,152703,74.3 %,3870,2.5%
Kalna,264,SC,Barddhaman,Deboprasad Bag (POLTU),All India Trinamool Congress,234821,206444,87.9 %,7478,3.6%
Kalna,264,SC,Barddhaman,Deboprasad Bag (POLTU),All India Trinamool Congress,234821,206444,87.9 %,7478,3.6%
Kalyani,92,SC,Nadia,Ambika Roy,Bharatiya Janta Party,245181,217761,88.8 %,2206,1.0%
Kalyani,92,SC,Nadia,Ambika Roy,Bharatiya Janta Party,245181,217761,88.8 %,2206,1.0%
Kamarhati,112,GEN,North Twenty Four Parganas,Madan Mitra,All India Trinamool Congress,189025,142757,75.5 %,35408,24.8%
Kamarhati,112,GEN,North Twenty Four Parganas,Madan Mitra,All India Trinamool Congress,189025,142757,75.5 %,35408,24.8%
Kandi,68,GEN,Murshidabad,Apurba Sarkar (DAVID),All India Trinamool Congress,225488,183350,81.3 %,38080,20.8%
Kandi,68,GEN,Murshidabad,Apurba Sarkar (DAVID),All India Trinamool Congress,225488,183350,81.3 %,38080,20.8%
Kanthi Dakshin,216,GEN,Purba Medinipur,Arup Kumar Das,Bharatiya Janta Party,216913,193811,89.3 %,10293,5.3%
Kanthi Dakshin,216,GEN,Purba Medinipur,Arup Kumar Das,Bharatiya Janta Party,216913,193811,89.3 %,10293,5.3%
Kanthi Uttar,213,GEN,Purba Medinipur,Sumita Sinha,Bharatiya Janta Party,248772,226924,91.2 %,9330,4.1%
Kanthi Uttar,213,GEN,Purba Medinipur,Sumita Sinha,Bharatiya Janta Party,248772,226924,91.2 %,9330,4.1%
Karandighi,32,GEN,Uttar Dinajpur,Goutam Paul,All India Trinamool Congress,246568,210687,85.4 %,36626,17.4%
Karandighi,32,GEN,Uttar Dinajpur,Goutam Paul,All India Trinamool Congress,246568,210687,85.4 %,36626,17.4%
Karimpur,77,GEN,Nadia,Bimalendu Sinha Roy,All India Trinamool Congress,241362,220178,91.2 %,23575,10.7%
Karimpur,77,GEN,Nadia,Bimalendu Sinha Roy,All India Trinamool Congress,241362,220178,91.2 %,23575,10.7%
Kasba,149,GEN,South  Twenty Four Parganas,Ahmed Javed Khan,All India Trinamool Congress,281198,220678,78.5 %,63622,28.8%
Kasba,149,GEN,South  Twenty Four Parganas,Ahmed Javed Khan,All India Trinamool Congress,281198,220678,78.5 %,63622,28.8%
Kashipur,244,GEN,Puruliya,Kamalakanta Hansda,Bharatiya Janta Party,227805,192491,84.5 %,7387,3.8%
Kashipur,244,GEN,Puruliya,Kamalakanta Hansda,Bharatiya Janta Party,227805,192491,84.5 %,7387,3.8%
Kashipur-Belgachhia,168,GEN,Kolkata,Atin Ghosh,All India Trinamool Congress,217872,133295,61.2 %,35390,26.6%
Kashipur-Belgachhia,168,GEN,Kolkata,Atin Ghosh,All India Trinamool Congress,217872,133295,61.2 %,35390,26.6%
Katulpur,256,SC,Bankura,Harakali Protiher,Bharatiya Janta Party,237059,222267,93.8 %,11785,5.3%
Katulpur,256,SC,Bankura,Harakali Protiher,Bharatiya Janta Party,237059,222267,93.8 %,11785,5.3%
Katwa,270,GEN,Barddhaman,Rabindranath Chatterjee,All India Trinamool Congress,257069,222679,86.6 %,9155,4.1%
Katwa,270,GEN,Barddhaman,Rabindranath Chatterjee,All India Trinamool Congress,257069,222679,86.6 %,9155,4.1%
Keshiary,223,ST,Paschim Medinipur,Paresh Murmu,All India Trinamool Congress,231170,210111,90.9 %,15330,7.3%
Keshiary,223,ST,Paschim Medinipur,Paresh Murmu,All India Trinamool Congress,231170,210111,90.9 %,15330,7.3%
Keshpur,235,SC,Paschim Medinipur,Seuli Saha,All India Trinamool Congress,250607,226934,90.6 %,20720,9.1%
Keshpur,235,SC,Paschim Medinipur,Seuli Saha,All India Trinamool Congress,250607,226934,90.6 %,20720,9.1%
Ketugram,271,GEN,Barddhaman,Sekh Sahonawez,All India Trinamool Congress,248148,211697,85.3 %,12683,6.0%
Ketugram,271,GEN,Barddhaman,Sekh Sahonawez,All India Trinamool Congress,248148,211697,85.3 %,12683,6.0%
Khanakul,202,GEN,Hugli,Susanta Ghosh,Bharatiya Janta Party,266127,214713,80.7 %,12884,6.0%
Khanakul,202,GEN,Hugli,Susanta Ghosh,Bharatiya Janta Party,266127,214713,80.7 %,12884,6.0%
Khandaghosh,259,SC,Barddhaman,Nabin Chandra Bag,All India Trinamool Congress,234921,215953,91.9 %,20886,9.7%
Khandaghosh,259,SC,Barddhaman,Nabin Chandra Bag,All India Trinamool Congress,234921,215953,91.9 %,20886,9.7%
Kharagpur,228,GEN,Paschim Medinipur,Dinen Roy,All India Trinamool Congress,215952,197730,91.6 %,36230,18.3%
Kharagpur,228,GEN,Paschim Medinipur,Dinen Roy,All India Trinamool Congress,215952,197730,91.6 %,36230,18.3%
Kharagpur Sadar,224,GEN,Paschim Medinipur,Hiranmoy Chattopadhyaya,Bharatiya Janta Party,225476,168742,74.8 %,3771,2.2%
Kharagpur Sadar,224,GEN,Paschim Medinipur,Hiranmoy Chattopadhyaya,Bharatiya Janta Party,225476,168742,74.8 %,3771,2.2%
Khardaha,109,GEN,North Twenty Four Parganas,Kajal Sinha,All India Trinamool Congress,217445,180732,83.1 %,28140,15.6%
Khardaha,109,GEN,North Twenty Four Parganas,Kajal Sinha,All India Trinamool Congress,217445,180732,83.1 %,28140,15.6%
Khargram,66,SC,Murshidabad,Ashis Marjit,All India Trinamool Congress,218890,184251,84.2 %,32573,17.7%
Khargram,66,SC,Murshidabad,Ashis Marjit,All India Trinamool Congress,218890,184251,84.2 %,32573,17.7%
Khejuri,215,SC,Purba Medinipur,Santanu Pramanik,Bharatiya Janta Party,228219,211485,92.7 %,17965,8.5%
Khejuri,215,SC,Purba Medinipur,Santanu Pramanik,Bharatiya Janta Party,228219,211485,92.7 %,17965,8.5%
Kolkata Port,158,GEN,Kolkata,Firhad Hakim,All India Trinamool Congress,223154,151083,67.7 %,68554,45.4%
Kolkata Port,158,GEN,Kolkata,Firhad Hakim,All India Trinamool Congress,223154,151083,67.7 %,68554,45.4%
Krishnanagar Uttar,83,GEN,Nadia,Mukul Roy,Bharatiya Janta Party,230150,199954,86.9 %,35089,17.5%
Krishnanagar Uttar,83,GEN,Nadia,Mukul Roy,Bharatiya Janta Party,230150,199954,86.9 %,35089,17.5%
Krishnaganj,88,SC,Nadia,Ashis Kumar Biswas,Bharatiya Janta Party,264303,229839,87.0 %,21277,9.3%
Krishnaganj,88,SC,Nadia,Ashis Kumar Biswas,Bharatiya Janta Party,264303,229839,87.0 %,21277,9.3%
Krishnanagar Dakshin,85,GEN,Nadia,Ujjal Biswas,All India Trinamool Congress,217291,193520,89.1 %,9305,4.8%
Krishnanagar Dakshin,85,GEN,Nadia,Ujjal Biswas,All India Trinamool Congress,217291,193520,89.1 %,9305,4.8%
Kulpi,133,GEN,South  Twenty Four Parganas,Jogaranjan Halder,All India Trinamool Congress,208431,191445,91.9 %,33818,17.7%
Kulpi,133,GEN,South  Twenty Four Parganas,Jogaranjan Halder,All India Trinamool Congress,208431,191445,91.9 %,33818,17.7%
Kultali,129,SC,South  Twenty Four Parganas,Ganesh Chandra Mondal,All India Trinamool Congress,248500,226303,91.1 %,47177,20.8%
Kultali,129,SC,South  Twenty Four Parganas,Ganesh Chandra Mondal,All India Trinamool Congress,248500,226303,91.1 %,47177,20.8%
Kulti,282,GEN,Barddhaman,Ajay  Kumar Poddar,Bharatiya Janta Party,238414,171214,71.8 %,679,0.4%
Kulti,282,GEN,Barddhaman,Ajay  Kumar Poddar,Bharatiya Janta Party,238414,171214,71.8 %,679,0.4%
Kumarganj,38,GEN,Dakshin Dinajpur,Toraf Hossain Mandal,All India Trinamool Congress,194392,169803,87.4 %,29367,17.3%
